"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url","Att (GK)_Passes"
2025,"Le Havre","Ligue 1","Arthur Desmas","FRA","GK","30-193",1994,7,15,1,1,0,0,16.3,0.38,1.3,0.19,26,60,43.3,NA,38,28.5,30.9,41,31.7,32.9,87,6,6.9,2,0.29,10.4,"https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas",165
2025,"Lecce","Serie A","Wladimiro Falcone","ITA","GK","29-188",1995,7,12,2,1,1,0,9.6,0.26,-2.4,-0.35,34,97,35.1,NA,30,48.7,37.4,31,67.7,49.3,115,4,3.5,4,0.57,10.4,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone",156
2025,"Leganés","La Liga","Marko Dmitrović","SRB","GK","32-267",1992,3,2,1,0,0,0,2.9,0.2,0.9,0.32,16,61,26.2,NA,11,60.6,47.1,27,77.8,62,46,3,6.5,2,0.67,11.3,"https://fbref.com/en/players/ac295d9e/Marko-Dmitrovic",66
2025,"Leganés","La Liga","Juan Soriano","ESP","GK","27-055",1997,6,7,0,0,1,1,8.8,0.36,2.8,0.47,36,120,30,NA,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0,8.4,"https://fbref.com/en/players/5512b1a9/Juan-Soriano",131
2025,"Leicester City","Premier League","Mads Hermansen","DEN","GK","24-098",2000,7,12,1,0,0,1,15.4,0.34,4.4,0.63,39,108,36.1,NA,38,36.4,34.5,47,68.1,46.8,142,8,5.6,7,1,12.4,"https://fbref.com/en/players/c924b17d/Mads-Hermansen",209
2025,"Lens","Ligue 1","Brice Samba","FRA","GK","30-175",1994,7,4,2,0,2,0,6.6,0.19,2.6,0.38,39,85,45.9,NA,29,32.2,32.3,33,48.5,37.8,82,13,15.9,7,1,11.8,"https://fbref.com/en/players/60d90c55/Brice-Samba",214
2025,"Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","34-328",1989,5,9,1,0,2,1,6.3,0.25,-1.7,-0.34,17,40,42.5,NA,21,27.3,29.9,25,40,35.9,47,3,6.4,4,0.8,15.1,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky",110
2025,"Leverkusen","Bundesliga","Matej Kovar","CZE","GK","24-153",2000,1,3,0,0,0,0,1.3,0.33,-1.7,-1.69,4,5,80,NA,1,20.8,28.1,1,0,14,6,0,0,3,3,20.2,"https://fbref.com/en/players/bc67a0e1/Matej-Kovar",24
2025,"Lille","Ligue 1","Lucas Chevalier","FRA","GK","22-346",2001,7,8,1,0,0,0,9.2,0.3,1.2,0.17,18,47,38.3,NA,26,26,29.4,24,12.5,26.3,58,6,10.3,3,0.43,14.1,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier",169
2025,"Liverpool","Premier League","Alisson","BRA","GK","32-015",1992,5.9,2,0,0,0,0,4.5,0.27,2.5,0.43,11,40,27.5,NA,21,18.2,24.9,13,23.1,24.4,48,2,4.2,10,1.7,16.3,"https://fbref.com/en/players/7a2e46a8/Alisson",203
